num_lectures,price,days_since_published,content_duration
28,80,2669,2.5
9,75,1675,2.5
19,0,2377,2.0
55,105,1988,6.0
27,20,1741,1.5
11,20,2560,0.6833333333333333
39,40,1831,5.5
30,30,1990,4.0
362,200,2731,30.0
11,0,2102,0.55
64,75,2184,4.5
9,35,1897,1.5
174,45,1957,16.5
20,20,2936,2.0
8,20,3169,1.0
5,20,2052,0.6
57,20,2510,2.0
25,45,2443,1.0
76,20,2103,5.0
26,95,2652,5.0
27,40,1674,1.0
79,200,2219,18.0
47,35,2193,3.5
16,200,2104,1.5
91,50,2319,7.0
43,100,2317,3.0
12,35,1711,0.7333333333333333
43,80,1871,5.5
77,20,2425,2.5
15,20,2290,3.0
11,20,2720,2.0
13,20,2388,1.5
5,20,2503,1.0
5,20,1854,1.0
43,100,2537,5.5
18,0,2303,5.0
36,50,2121,7.0
19,55,1716,2.0
18,55,2524,1.5
6,40,1888,0.5833333333333334
131,150,2158,19.5
5,50,2025,1.0
45,195,1995,4.0
5,20,2983,1.0
15,95,2131,1.0
34,125,1985,2.0
22,0,1798,2.0
80,200,2221,6.5
21,100,1993,5.0
44,20,2374,2.5
20,20,1908,2.0
5,0,2693,0.5166666666666666
29,75,2423,3.0
8,40,1942,1.0
38,0,2069,1.0
14,20,2434,0.65
154,195,2801,26.0
18,25,1997,5.0
14,20,1997,1.5
37,20,2212,1.5
68,40,1667,8.5
16,30,2823,2.0
13,100,1670,3.5
42,30,2970,4.0
90,50,2473,16.0
12,20,2224,1.0
24,50,2176,0.7
25,145,1885,3.5
101,50,3536,8.0
56,95,2521,6.0
94,20,2457,8.0
24,20,2610,2.0
18,195,2083,1.0
32,20,3148,2.0
13,20,2841,1.0
44,20,2354,5.5
23,50,2321,1.5
64,95,2503,3.5
11,20,2047,0.6
19,20,2370,1.0
46,40,3019,12.0
45,35,1810,3.0
60,100,2403,6.0
27,40,1956,2.0
179,35,2181,17.5
13,20,1752,3.0
27,195,2923,4.0
42,35,3039,3.5
39,50,2830,5.5
29,200,2414,2.0
31,50,2821,3.5
57,50,2107,7.0
27,50,2368,2.5
7,20,2236,0.6833333333333333
6,0,1737,1.0
12,20,2150,2.0
25,200,1837,1.0
28,20,2059,1.0
12,20,2691,1.5
19,30,2635,1.0
16,35,2117,1.0
16,0,2131,1.5
17,50,2811,3.0
6,60,1711,0.7
36,20,1733,4.5
30,120,2325,1.5
31,100,2317,1.5
50,50,2990,3.0
12,0,1730,1.5
11,20,2145,0.5
8,20,2479,1.0
7,25,2152,0.6166666666666667
15,20,1802,1.0
11,20,1771,1.0
27,50,2821,8.5
32,195,2163,2.0
41,30,3474,2.5
15,20,1690,1.0
20,200,1939,1.5
28,20,2969,1.5
28,60,2166,5.5
12,100,1676,2.5
11,40,2631,2.5
6,60,1725,0.6666666666666666
39,200,1766,2.5
17,0,2156,1.5
22,25,3048,3.0
157,100,1908,12.5
26,95,2269,3.5
9,20,1709,1.0
40,50,2151,4.5
8,0,1695,0.65
6,80,2157,0.7
105,150,1864,5.5
29,95,1912,1.5
27,20,2577,2.0
35,200,2440,5.0
24,100,1901,1.0
7,125,1785,0.6333333333333333
43,20,2302,2.5
26,0,3026,3.5
7,0,2342,0.6
32,200,1996,3.0
10,75,2234,1.0
25,0,1740,3.5
22,20,1787,1.5
73,100,2968,9.0
49,50,1811,3.0
23,40,2061,5.5
10,20,2845,1.0
23,40,2051,1.5
212,195,1816,37.5
42,35,2437,2.0
23,200,2412,2.0
38,20,2332,3.5
10,20,3567,0.6
16,40,2251,1.5
104,50,2466,5.0
45,50,2122,3.5
13,0,2283,1.0
24,60,1946,1.5
37,50,2149,3.5
32,50,2003,2.0
38,140,1788,3.0
59,50,2263,2.5
22,50,2122,2.0
22,20,2356,1.5
55,20,1978,10.0
9,20,1740,0.5333333333333333
9,50,2698,0.6833333333333333
9,0,1878,1.0
26,200,1801,1.5
12,100,1676,1.5
38,20,1793,4.0
12,20,2475,0.65
132,100,2152,16.0
15,150,1896,0.65
32,20,2222,3.0
46,200,1828,3.5
21,200,1863,1.5
72,195,2196,5.0
25,20,2562,2.0
16,200,2275,1.5
137,110,1964,7.0
10,50,1975,0.5666666666666667
11,0,2106,1.0
21,100,2054,2.0
24,200,1690,4.0
5,200,2298,0.5333333333333333
89,50,2479,6.0
12,25,1835,1.0
6,130,1785,0.5333333333333333
98,150,2347,19.5
74,55,2116,5.0
14,40,1711,1.0
20,100,2706,1.0
50,195,1866,6.5
22,50,3002,1.0
53,50,2884,5.0
20,120,2096,2.0
19,25,2413,1.5
12,50,3113,1.0
